"Source:","E:\source\diyBMSv4\Circuit\v4.sch"
<<<<<<< HEAD
"Date:","17/02/2020 18:52:37"
"Tool:","Eeschema (5.1.0)-1"
=======
"Date:","29/04/2020 15:39:31"
"Tool:","Eeschema (5.1.5)-3"
>>>>>>> jlcpcbassembly
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","48"

"Individual Components:"

<<<<<<< HEAD
"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100nF","Device:C","Capacitors_SMD:C_0805_HandSoldering","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_100nF-104-10-50V_C49678.html"
"","","C2","2.2uF","Device:C","Capacitors_SMD:C_0805_HandSoldering","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_2-2uF-225-10-16V_C113841.html"
"","","C3","10uF 10V","Device:C","Capacitors_SMD:C_0805_HandSoldering","https://datasheet.lcsc.com/szlcsc/YAGEO-CC0805KRX5R6BB106_C272880.pdf"
"","","D1","LM4040BIM3-2.0/NOPB, 2.048V, SOT-23-3","Reference_Voltage:LM4040DBZ-2.0","TO_SOT_Packages_SMD:SOT-23","https://uk.farnell.com/texas-instruments/lm4040bim3-2-0-nopb/voltage-ref-shunt-2-048v-sot-23/dp/2492201"
"","","D2","Blue","Device:LED","LEDs:LED_0805","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_SMDLED-blue_C189307.html"
"","","D3","RED LED","Device:LED","LEDs:LED_0805_HandSoldering","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_BL-HUF35A-AV-TRB-Iv-80mcd-Typ-atIF-20mA_C94741.html"
"","","D4","Green","Device:LED","LEDs:LED_0805_HandSoldering","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Emerald-SMDLED-Iv-220-270mcd-atIF-5mA_C84260.html"
"","","J2","AVR-ISP-6","Connector:AVR-ISP-6","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm","https://lcsc.com/product-detail/Pin-Header-Female-Header_Boom-Precision-Elec-2-54mm-2-3P-Header_C65114.html"
"","","POWER1","Battery","Connector:Conn_01x02_Male","Connectors_JST:JST_PH_S2B-PH-K_02x2.00mm_Angled","https://datasheet.lcsc.com/szlcsc/JST-Sales-America-S2B-PH-K-S-LF-SN_C173752.pdf"
"","","Q1","IRLML6244TRPBF","Device:Q_NMOS_GSD","TO_SOT_Packages_SMD:SOT-23","https://datasheet.lcsc.com/szlcsc/Infineon-Technologies-IRLML6244TRPBF_C143946.pdf"
"","","R1","10K","Device:R","Resistors_SMD:R_0805_HandSoldering","RC0805FR-0710KL"
"","","R2","1K","Device:R","Resistors_SMD:R_0805_HandSoldering","RC0805FR-071KL"
"","","R3","475K  E96 series (tolerance 1%)","Device:R","Resistors_SMD:R_0805_HandSoldering","RC0805FR-07475KL"
"","","R4","402K E96 series (tolerance 1%)","Device:R","Resistors_SMD:R_0805_HandSoldering","0805W8F4023T5E"
"","","R5","220R","Device:R","Resistors_SMD:R_0805_HandSoldering","0805W8F2200T5E"
